id,fen,solution,rating,theme
CwzYe,6k1/p1R2ppp/1p6/8/8/BPK2b2/P3r2P/3q4 w - - 12 31,c7c8 d1d8 c8d8 e2e8 d8e8,406,메이트 3수
0OJpS,1k6/2p1R1pp/5p2/1N6/P1P2Pn1/1P6/3r2PP/6K1 b - - 0 27,d2d1 e7e1 d1e1,407,메이트 2수
1hiQ0,3r3k/5pp1/3p3p/4pP2/1Q2P3/1Pr5/P2R2PP/7K b - - 0 32,c3c1 d2d1 c1d1 b4e1 d1e1,407,메이트 3수
LmDgN,6k1/p4p1p/4p1p1/2P5/1p6/8/n6K/8 w - - 0 41,c5c6 a2c3 c6c7 c3d5 c7c8q,407,승격
Sh9IF,8/8/p7/7K/6P1/1k6/8/8 w - - 1 64,g4g5 b3b2 g5g6 a6a5 g6g7,408,전진한 폰
Dr7al,2R5/6pk/p7/3p3p/1r1P4/8/P2R1PPP/6K1 b - - 4 33,b4b1 c8c1 b1c1 d2d1 c1d1,408,메이트 3수
GccQX,8/6p1/7p/1K6/8/2P4k/8/8 w - - 0 49,c3c4 h3h2 c4c5 g7g5 c5c6 g5g4 c6c7 g4g3 c7c8q,408,승격
Qmk02,8/8/6K1/7p/5P1k/8/8/8 w - - 0 48,f4f5 h4g4 f5f6 h5h4 f6f7,409,전진한 폰
Vamzz,8/6K1/8/5p1P/8/1k6/8/n7 w - - 0 61,h5h6 f5f4 h6h7,409,전진한 폰
0LVwe,6k1/5p1p/4p2B/1pRrb3/8/6P1/P4P1P/6K1 w - - 2 30,c5c8 d5d8 c8d8,409,메이트 2수
515A3,6k1/5pp1/p6p/4PP2/2r1K3/PrR3P1/7P/8 w - - 0 47,c3c4 b3a3 c4c8,410,결정적 우위
1bItO,8/8/8/6p1/P7/4K3/7k/8 b - - 0 48,g5g4 a4a5 g4g3 a5a6 g3g2,412,전진한 폰
21ZQV,8/1p3p2/2k5/p1Pp3P/3P4/8/6K1/8 w - - 1 41,h5h6 a5a4 h6h7,412,전진한 폰
HGRgE,r1br2k1/6pp/p3pb2/1p3B2/3q4/PQ2R3/1P3PPP/R1B3K1 b - - 0 20,d4d1 b3d1 d8d1 e3e1 d1e1,412,메이트 3수
VYFfr,1rb1r1k1/p1p1qppp/5n2/3p4/5Q2/1PNB4/P1P2PPP/R3R1K1 b - - 1 14,e7e1 a1e1 e8e1,413,우위 잡기
6fCYg,2kr1b1r/ppp3pp/2n1p3/3q4/4P3/P4N1P/1PP2PP1/R1BQ1RK1 b - - 0 12,d5d1 f1d1 d8d1,413,결정적 우위
L8KLz,2r3k1/pp1b1ppp/4pn2/3p4/1P1P4/P1r1PN2/4BPPP/R1R3K1 b - - 3 20,c3c1 a1c1 c8c1,413,결정적 우위
05VOx,2r2rk1/5qp1/p2pb2p/1p2p1b1/P3Q3/1P1B3P/2PN1PP1/R2R2K1 w - - 1 21,e4h7,413,메이트 1수
0J7uu,7k/4p2N/2p3p1/3r2N1/P3B3/4nP2/PP4P1/1K6 b - - 4 32,d5d1,413,메이트 1수
0hyjw,6k1/5ppp/8/1p6/1P1rP3/3p4/5PPP/2R2K2 w - - 2 25,c1c8 d4d8 c8d8,413,메이트 2수
P589x,1k1rr3/1pp5/7p/p2b2p1/3n1q2/P2PR2B/1PP1Q2P/K3R1B1 w - - 4 31,e3e8 d8e8 e2e8,414,결정적 우위
F66e9,3r2k1/5pp1/p1p5/1pPrR3/1P6/P4Q2/5PPP/3R2K1 b - - 0 32,d5d1 f3d1 d8d1 e5e1 d1e1,414,메이트 3수
2FXT6,8/8/5K2/p7/4P1P1/1k6/8/8 b - - 0 52,a5a4 g4g5 a4a3 e4e5 a3a2 g5g6 a2a1q,414,승격
7Wzaa,8/8/4K3/1k2P3/2p4P/8/8/8 b - - 0 65,c4c3 e6f7 c3c2 e5e6 c2c1q,414,승격
3CeA1,1r1r2k1/5p1p/1p2b1p1/2q5/P1pRP3/2R5/1P3PPP/3Q2K1 w - - 0 30,d4d8 b8d8 d1d8,415,우위 잡기
0vrQv,3r2k1/1p1r1ppp/1R6/2p5/8/8/PP3PPP/2R3K1 b - - 0 27,d7d1 c1d1 d8d1,415,메이트 2수
7gHFz,8/8/7p/2P5/6p1/3K3k/8/8 w - - 1 56,c5c6 g4g3 c6c7 g3g2 c7c8q,415,승격
D4rYZ,r1br2k1/1p3p2/2n1p2p/p1q3p1/1bp4P/P1B1PP2/1P1Q2P1/2KR1BNR w - - 1 17,d2d8 c6d8 d1d8,416,우위 잡기
wJTzk,2QR4/8/6k1/Q5p1/P7/1p6/1r3PPP/6K1 b - - 0 52,b2b1 c8c1 b1c1 d8d1 c1d1 a5e1 d1e1,416,백랭크 메이트
C4GJm,3r4/8/p2r1kp1/Pp3p1p/1PbR1P1P/5BP1/3R1K2/8 w - - 2 41,d4d6 d8d6 d2d6,416,결정적 우위
0d7gs,2R5/8/k1K5/8/8/3qr3/8/8 w - - 2 84,c8a8,416,메이트 1수
0clTl,r5k1/ppp2ppp/3p2q1/3P4/1PPN1n2/P7/4Q1PP/4R2K w - - 4 25,e2e8 a8e8 e1e8,416,메이트 2수
sabd8,6k1/5pp1/4p2p/pr6/P7/7P/5PPK/8 w - - 0 36,a4b5 g8f8 b5b6 f8e7 b6b7,417,전진한 폰
pEoWW,3r2k1/ppp3p1/3r4/5N2/8/4P1P1/1PP2P1P/1K1R3R b - - 0 28,d6d1 h1d1 d8d1,417,우위 잡기
1WtZT,2k4r/pp6/4ppr1/2p1p3/3pP1P1/1P1P3P/P1P2R2/5RK1 w - - 1 28,f2f6 g6f6 f1f6,417,결정적 우위
Ojko2,2r3k1/3q2pp/p2bpp2/Bp1b4/1P1PpP2/4P3/2Q1B1PP/2R3K1 w - - 1 23,c2c8 d7c8 c1c8,417,결정적 우위
0cYX1,6k1/q4ppp/8/5b2/8/5N1P/1r4P1/3R3K w - - 0 32,d1d8,417,메이트 1수
0VPhX,6k1/p4ppp/1p2pn2/8/2N5/1PK3P1/P3bPqP/3R4 w - - 0 28,d1d8 f6e8 d8e8,417,메이트 2수
9ILDB,8/8/p7/6K1/1k6/7P/8/8 w - - 0 54,h3h4 a6a5 h4h5 a5a4 h5h6 a4a3 h6h7,418,전진한 폰
0alcM,5k2/5p1p/p1R5/5NPK/r7/2p4P/8/4b3 w - - 8 39,c6c8,418,메이트 1수
0LQiB,1kr5/pp4pp/8/8/3P4/4PB2/1R3PPP/6K1 b - - 2 40,c8c1 f3d1 c1d1,418,메이트 2수
DkWsS,1r6/p1k5/8/3Rp3/4B1p1/4B3/P1P2PPP/6K1 b - - 5 32,b8b1 e3c1 b1c1 d5d1 c1d1,418,메이트 3수
GjlDt,1k6/ppp2Rp1/1q1b3p/8/4r3/P1P5/1P4PP/5R1K w - - 0 27,f7f8 d6f8 f1f8 e4e8 f8e8,418,메이트 3수
ap6GT,8/8/8/p5N1/7P/1k4K1/7P/8 b - - 1 58,a5a4 h4h5 a4a3 g5f3 a3a2,419,전진한 폰
0KJaY,6k1/5ppp/5n2/8/5P2/4P1P1/1r5P/3R2K1 w - - 0 39,d1d8 f6e8 d8e8,419,메이트 2수
041Bo,8/3b3p/3p2pQ/8/2P2P2/3P2k1/P6p/1r1B3K b - - 2 33,b1d1,420,메이트 1수
J33YX,8/1k3ppp/2RQpn2/1r6/8/P7/5PPP/6K1 b - - 0 34,b5b1 c6c1 b1c1 d6d1 c1d1,420,메이트 3수
5YebV,8/1k6/1P4N1/1K6/7p/8/8/8 b - - 0 70,h4h3 g6e5 h3h2 e5d3 h2h1q,420,승격
UY0q1,8/8/8/5N2/2p3p1/6P1/1k1K4/8 b - - 0 57,c4c3 d2d3 c3c2,421,전진한 폰
1XoNJ,2r1r1k1/2p2pqp/np1p2p1/pN1P4/P4P2/5NP1/2P1Q2P/4RK2 w - - 3 24,e2e8 c8e8 e1e8 g7f8 e8f8,421,우위 잡기
fLH5m,8/8/1p6/pPp1k1p1/P1P2pP1/3P1P2/3K4/8 b - - 1 39,e5d4 d2c2 d4e3,421,우위 잡기
0EPrX,3r4/4q2k/p2p2pp/3R1N2/3Q4/8/PPP3PP/6K1 b - - 0 27,e7e1,421,메이트 1수
0keTL,2k5/p4p1R/2Kp4/1p6/3r4/6r1/P5P1/8 w - - 0 31,h7h8 g3g8 h8g8,421,메이트 2수
Edy8g,8/8/8/2K5/pP6/8/8/7k b - - 1 65,a4a3 b4b5 a3a2 b5b6 a2a1q,421,승격
dEQvR,r2r2k1/p4qbp/1pp5/2n1n3/2P2p1P/1P5B/PB1QNP1K/R2R4 w - - 2 26,d2d8 a8d8 d1d8,422,우위 잡기
7fqba,1r2r1k1/5pbp/pq4p1/8/P1pn1P2/4RN2/1P1N1KPP/R3Q3 w - - 0 22,e3e8 b8e8 e1e8,422,결정적 우위
0ACeu,2b2r1k/p1p3pp/2Q5/3B4/8/P7/6PP/5R1K b - - 0 24,f8f1,422,메이트 1수
3vP2j,5rk1/5p1p/2Q1p1p1/2p1P3/2R5/1R6/r4PPP/6K1 b - - 0 28,a2a1 b3b1 a1b1 c4c1 b1c1,422,메이트 3수
Kphza,8/8/5p2/2K5/1P5p/6kP/8/8 w - - 1 48,b4b5 g3h3 b5b6 h3g2 b6b7 h4h3 b7b8q,422,승격
Cee46,3r2k1/pp4pp/2p5/2Pr1p2/1P2p3/P3P1P1/5P1P/R2R1K2 b - - 3 24,d5d1 a1d1 d8d1,423,결정적 우위
GddqJ,3r4/3rp1bp/4Bkp1/2p5/P4P2/7P/1P4P1/3RR2K b - - 0 29,d7d1 e1d1 d8d1,423,결정적 우위
lCNWs,r7/r6k/2p2ppp/np1p4/3P4/1QN1P2P/5PP1/R1R3K1 b - - 0 31,a5b3 a1a7 a8a7,423,포크
ptMAN,6k1/2pr4/pp4p1/8/4N3/6P1/1P3P2/6K1 w - - 0 37,e4f6 g8f7 f6d7,423,포크
0XPAx,r2b1rk1/2qn1ppp/p2p1n2/1pp2N2/4P1Q1/3P1N2/PPP3PP/R1B2RK1 w - - 5 16,g4g7,423,메이트 1수
03EFQ,6k1/p5rp/p3p1p1/1b1rN3/4p3/PP2K3/7P/2R5 w - - 2 33,c1c8 d5d8 c8d8 b5e8 d8e8,423,메이트 3수
93Y0v,7k/2R3pp/5r2/3r4/1p3P1P/1Pp3P1/6K1/8 w - - 0 42,c7c8 d5d8 c8d8 f6f8 d8f8,423,메이트 3수
JSiRQ,3Q4/p3R3/k7/2p1N3/8/2B5/PrP2PPP/6K1 b - - 1 31,b2b1 d8d1 b1d1 c3e1 d1e1,423,메이트 3수
ACKvh,8/5p2/1K4p1/8/P7/7k/8/8 w - - 0 60,a4a5 g6g5 a5a6 g5g4 a6a7 g4g3 a7a8q,423,승격
I6ipi,8/8/p5K1/1pk5/5P2/8/8/8 w - - 1 44,f4f5 b5b4 f5f6 c5c4 f6f7,424,전진한 폰
EjTTt,8/4k3/4r3/4r3/2Pp1p2/3P4/1P4P1/3QR1K1 b - - 5 39,e5e1 d1e1 e6e1,424,포크
HzPRD,6k1/5ppp/p7/1p4P1/6K1/2rqN1Q1/7P/8 w - - 7 40,g3b8 c3c8 b8c8 d3d8 c8d8,424,메이트 3수
1AWEU,8/1K6/8/8/P6p/6k1/8/8 b - - 1 39,h4h3 a4a5 h3h2 a5a6 h2h1q,424,승격
oJFOE,8/8/4B3/8/6p1/7p/5k1K/8 b - - 5 79,g4g3 h2h3 g3g2,425,전진한 폰
2zkXL,r5k1/ppp1qppp/1b1p4/7B/1Q1P4/4r2P/PP1N1PP1/R3R1K1 b - - 0 18,e3e1 a1e1 e7e1,425,결정적 우위
dp00W,8/6p1/4r3/kp2r3/3QP3/4K1P1/5P2/8 b - - 6 52,e5e4 d4e4 e6e4,425,포크
0B9Xk,3r3k/ppq3p1/7p/8/8/5Q2/Pb4PP/1B3R1K w - - 0 27,f3f8 d8f8 f1f8,425,메이트 2수
0CjdD,4r1k1/5pb1/Qp2r1pp/8/3p4/P2R4/1P3PPP/3RB1K1 b - - 0 29,e6e1 d1e1 e8e1,425,메이트 2수
OQWJV,4k2r/1p1bbppp/1B2p3/3p4/4n3/5NP1/4PPBP/R5K1 w k - 2 20,a1a8 d7c8 a8c8,426,우위 잡기
FMM4M,2RR1nk1/7p/8/8/4P3/1r3P2/6PP/7K b - - 12 38,b3b1 c8c1 b1c1 d8d1 c1d1,426,메이트 3수
x89pv,1r4k1/pr3p1p/p3p1p1/3b2P1/N1pPpP2/P3P2R/2P4P/1RQ3K1 b - - 0 23,b7b1 c1b1 b8b1,426,핀
FLByM,8/8/1p6/7p/1P3P2/4K1k1/8/8 w - - 0 52,f4f5 h5h4 f5f6 h4h3 f6f7,427,전진한 폰
HeAj3,8/6k1/8/2p2KP1/2Pp4/8/8/8 b - - 2 50,d4d3 f5e4 d3d2,427,전진한 폰
BisC0,4r2k/4q1pp/p7/1pp2nB1/8/2P4P/PP1Q1PP1/4R1K1 b - - 5 29,e7e1 d2e1 e8e1,427,결정적 우위
0FMJF,R2n1k2/7p/5K2/8/1P6/2n5/p6P/8 w - - 2 59,a8d8,427,메이트 1수
g6zzj,8/3k1K2/p7/1p6/4P3/8/8/8 w - - 0 49,e4e5 b5b4 e5e6 d7d6 e6e7,428,전진한 폰
48TAS,6k1/bp2r2p/p3N3/5P2/1P1n3P/P7/2R3K1/8 w - - 1 38,c2c8 e7e8 c8e8,428,결정적 우위
rfPl6,5rk1/p1Q2Rp1/1p5p/3p4/7P/8/PP3K2/8 b - - 0 41,f8f7 c7f7 g8f7,428,포크
0Pazg,rb1r2k1/6pp/pp6/4PR2/4p3/8/PPP3PP/R1B4K b - - 0 20,d8d1 f5f1 d1f1,428,메이트 2수
0zvzJ,8/ppk1pr1p/3p4/3n4/8/1PP3Q1/P2B1rPP/3R1R1K b - - 0 27,f2f1 d1f1 f7f1,428,메이트 2수
JC3ka,8/8/8/1Pp4K/1k6/8/8/8 w - - 1 66,b5b6 c5c4 b6b7,429,전진한 폰
0AczW,r2q1rk1/pb1nbpp1/1p1pp2p/8/3P1Bn1/2P2N2/PPQN1P1P/1BR1K2R w K - 0 13,c2h7,429,메이트 1수
LGLux,8/6k1/2p2r2/2P2p2/3P1Q2/1P4nP/6P1/6K1 b - - 0 43,g3e2 g1f2 e2f4,430,포크
jrvcw,8/pp1k3p/2p5/2K5/PPP3rP/5N2/8/8 w - - 2 32,f3e5 d7e6 e5g4,430,포크
0E1lm,rn1q1rk1/pp2npp1/2p1p2p/3pP1N1/1b1P4/2NQ4/PPP2PPP/R1B2RK1 w - - 0 10,d3h7,430,메이트 1수
0Ltl9,8/8/6k1/2R5/2p2pPK/5P2/5r2/8 b - - 3 50,f2h2,430,메이트 1수
0RHoV,6k1/5ppp/1p2b3/8/2P5/6P1/1r1r1P1P/R1R3K1 w - - 0 23,a1a8 e6c8 a8c8 d2d8 c8d8,430,메이트 3수
9aNSq,1k6/ppp3pp/6q1/4n3/5R2/6PK/P2r3P/8 w - - 5 26,f4f8 g6e8 f8e8 d2d8 e8d8,430,메이트 3수
